"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","TAVG","TMAX","TMIN"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","1921-01","9.7","12.5","7.0"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","1921-02","11.6","15.3","7.9"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","1921-03","12.5","15.8","9.3"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","1921-04","12.7","16.8","8.7"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","1921-05","12.4","15.8","9.0"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","1921-06","16.3","20.7","11.9"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","1921-07","15.4","19.4","11.5"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","1921-08","15.3","18.6","12.1"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","1921-09","17.4","21.7","13.1"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","1921-10","16.4","20.1","12.7"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","1921-11","14.3","17.8","10.8"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","1921-12","11.6","14.3","8.9"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","1922-01","8.1","11.4","4.9"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","1922-02","10.1","13.2","7.0"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","1922-03","11.3","14.5","8.1"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","1922-04","11.9","15.7","8.2"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","1922-05","14.5","19.0","9.9"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","1922-06","15.6","19.5","11.7"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","1922-07","15.6","18.8","12.5"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","1922-08","15.8","19.6","12.0"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","1922-09","17.4","22.0","12.8"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","1922-10","15.9","19.5","12.3"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","1922-11","12.4","15.7","9.0"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","1922-12","10.3","13.0","7.7"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","1923-01","8.9","11.7","6.1"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","1923-02","11.2","15.0","7.4"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","1923-03","13.7","18.3","9.2"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","1923-04","13.4","16.9","9.8"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","1923-05","14.0","17.8","10.2"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","1923-06","14.0","17.3","10.7"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","1923-07","16.0","19.6","12.4"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","1923-08","16.5","20.0","12.9"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","1923-09","17.7","22.0","13.5"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","1923-10","16.9","20.9","12.9"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","1923-11","16.0","20.1","11.9"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","1923-12","10.6","13.6","7.6"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","1924-01","10.1","13.7","6.6"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","1924-02","13.9","17.8","10.1"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","1924-03","12.5","16.1","8.9"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","1924-04","14.1","18.2","10.1"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","1924-05","15.1","18.9","11.2"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","1924-06","15.5","19.2","11.7"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","1924-07","15.0","18.2","11.9"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","1924-08","15.1","18.4","11.8"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","1924-09","16.9","21.4","12.5"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","1924-10","15.3","18.8","11.8"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","1924-11","13.7","17.2","10.2"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","1924-12","8.8","11.4","6.2"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","1925-01","10.8","13.9","7.6"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","1925-02","12.9","15.8","10.0"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","1925-03","13.0","17.1","8.9"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","1925-04","13.9","17.2","10.5"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","1925-05","15.0","18.5","11.5"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","1925-06","15.8","20.2","11.4"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","1925-07","16.2","19.8","12.7"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","1925-08","16.2","19.6","12.8"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","1925-09","17.1","20.6","13.6"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","1925-10","16.8","20.8","12.8"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","1925-11","13.7","16.6","10.8"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","1925-12","11.5","14.5","8.6"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","1926-01","8.8","11.9","5.8"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","1926-02","13.3","16.6","10.1"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","1926-03","15.9","20.0","11.8"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","1926-04","16.4","20.2","12.7"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","1926-05","16.1","20.3","12.0"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","1926-06","15.1","18.9","11.3"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","1926-07","16.2","20.3","12.0"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","1926-08","16.0","19.9","12.1"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","1926-09","16.2","20.2","12.2"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","1926-10","17.4","22.0","12.9"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","1926-11","16.0","19.8","12.3"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","1926-12","10.8","13.6","8.1"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","1927-01","10.7","13.4","8.1"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","1927-02","12.2","15.0","9.5"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","1927-03","12.3","15.9","8.8"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","1927-04","13.1","17.2","9.1"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","1927-05","14.6","18.9","10.2"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","1927-06","15.5","19.1","11.8"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","1927-07","14.8","18.2","11.4"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","1927-08","15.5","18.7","12.3"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","1927-09","16.9","20.7","13.1"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","1927-10","16.9","21.9","12.0"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","1927-11","14.5","17.6","11.4"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","1927-12","11.0","13.9","8.2"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","1928-01","10.3","12.9","7.6"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","1928-02","12.8","16.3","9.3"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","1928-03","14.6","17.8","11.3"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","1928-04","14.3","18.1","10.5"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","1928-05","14.9","18.5","11.4"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","1928-06","15.9","20.1","11.6"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","1928-07","14.8","18.0","11.6"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","1928-08","14.6","18.0","11.3"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","1928-09","16.3","20.6","12.1"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","1928-10","15.3","19.1","11.4"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","1928-11","13.5","17.0","10.1"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","1928-12","9.8","12.7","6.9"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","1929-01","8.6","11.5","5.7"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","1929-02","11.0","14.8","7.1"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","1929-03","12.4","16.0","8.7"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","1929-04","11.9","15.2","8.5"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","1929-05","13.6","17.3","9.9"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","1929-06","17.1","21.7","12.5"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","37.7705","-122.4269","45.7","1929-07","16.4","20.1","12.7"
